FID,geom,id,descricao,tipo,extensao,fonte,ano_ref,datum_codf,data_criac
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-586c,"MULTILINESTRING ((-38.58563472667977 -3.6998614515602317, -38.58549007224348 -3.6995840830729394))",65,Galeria,Drenagem geral,34.626,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-586b,"MULTILINESTRING ((-38.58549007224348 -3.6995840830729394, -38.585193770646256 -3.6989541757948756))",66,Galeria,Drenagem geral,77.04,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-586a,"MULTILINESTRING ((-38.585193770646256 -3.6989541757948756, -38.584994276912006 -3.698670179831517))",67,Galeria,Drenagem geral,38.436,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5869,"MULTILINESTRING ((-38.584994276912006 -3.698670179831517, -38.58494124278562 -3.6985962972692104))",68,Galeria,Drenagem geral,10.073,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5868,"MULTILINESTRING ((-38.584940986195406 -3.6985959398098673, -38.584633085672884 -3.698483838244592))",69,Galeria,Drenagem geral,36.381,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5867,"MULTILINESTRING ((-38.584633085672884 -3.698483838244592, -38.58393774905598 -3.698170292166164))",70,Galeria,Drenagem geral,84.669,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5866,"MULTILINESTRING ((-38.58393774905598 -3.698170292166164, -38.5838609894855 -3.698128441108243))",71,Galeria,Drenagem geral,9.702,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5865,"MULTILINESTRING ((-38.5838609894855 -3.698128441108243, -38.58390715000114 -3.697928837046532))",72,Galeria,Drenagem geral,22.66,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5864,"MULTILINESTRING ((-38.58390715000114 -3.697928837046532, -38.583913796332745 -3.697787989541005))",73,Galeria,Drenagem geral,15.592,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5863,"MULTILINESTRING ((-38.583913796332745 -3.697787989541005, -38.58388531921832 -3.69770214476403))",74,Galeria,Drenagem geral,10.006,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5862,"MULTILINESTRING ((-38.58388531921832 -3.69770214476403, -38.583797644357965 -3.6975458470476306))",75,Galeria,Drenagem geral,19.839,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5861,"MULTILINESTRING ((-38.583797644357965 -3.6975458470476306, -38.58374725245047 -3.6974115748588967))",76,Galeria,Drenagem geral,15.868,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-5860,"MULTILINESTRING ((-38.58374725245047 -3.6974115748588967, -38.58368543468712 -3.697244870920221))",77,Galeria,Drenagem geral,19.672,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-585e,"MULTILINESTRING ((-38.58368543468712 -3.697244870920221, -38.58363509926803 -3.6969895550746577))",78,Galeria,Drenagem geral,28.781,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-585d,"MULTILINESTRING ((-38.58363509926803 -3.6969895550746577, -38.583635181386896 -3.6968134912354107))",79,Galeria,Drenagem geral,19.469,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-585c,"MULTILINESTRING ((-38.583635181386896 -3.6968134912354107, -38.58368353846374 -3.6966073223426945))",80,Galeria,Drenagem geral,23.422,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
